"","gl_0","gl_05","mle","n"
"73",-14.4720880553409,-19.869248186684,-25.7125980357382,50
"74",-14.0010811570631,-18.3479316156249,-26.3045538044325,50
"75",-15.8768793191661,-19.1757274745425,-27.0372105412524,50
"76",-13.6463194541509,-18.9532368094906,-24.0388208522091,50
"77",-14.8303603768415,-18.9982594055296,-23.9015375308097,50
"78",-12.1870009167207,-17.7443895865039,-21.0091738824748,50
"79",-15.1871242331319,-18.1385811386791,-25.1078226073274,50
"80",-12.8905219305101,-19.3785967278671,-23.4477432463249,50
"81",-13.8409259108877,-18.2602681920444,-27.2646842685021,50
"82",-13.7380336390898,-18.1615343539552,-27.59407519227,50
"83",-15.1867351019332,-19.3554026005932,-29.1051691450906,50
"84",-15.2661540350403,-20.8279127318187,-23.4313756145299,50
"85",-13.6512284416813,-17.7593434741613,-25.5211992270688,50
"86",-15.2261424695623,-20.1365954517314,-28.5255333224111,50
"87",-12.7764746990245,-17.8459982499463,-25.5971464289503,50
"88",-14.5555081655097,-19.5600711521683,-25.5560442160563,50
"89",-14.1480873204937,-19.4845657538337,-25.5098124488416,50
"90",-13.635515158819,-18.4593775328171,-23.3851198033787,50
"91",-12.0238006831124,-19.4802458843821,-26.6245511584402,50
"92",-14.9157436163074,-18.5798008976036,-22.0978376631302,50
"93",-11.9566941672636,-18.9071389408353,-23.497745968771,50
"94",-12.6809965364585,-17.5617024226431,-25.9085631590241,50
"95",-13.075351180136,-18.4901257424812,-24.8730750823947,50
"96",-13.9556693471105,-19.2654794591824,-24.2589417935792,50
"97",-14.2252831290937,-19.1595677959545,-29.3004615574769,50
"98",-14.406375938644,-19.0970177127216,-26.9135480551297,50
"99",-12.7059487625341,-17.6475493017195,-23.6727380683615,50
"100",-14.5349316013016,-16.3123515484594,-26.9245051199953,50
"101",-13.8303429271357,-16.8839518601519,-22.4413933869854,50
"102",-15.514040022141,-19.8795332716613,-31.0291858716411,50
"103",-12.3677521904081,-18.3070978871071,-25.4174423577449,50
"104",-12.7201700642368,-18.5649527993672,-23.8967337093571,50
"105",-13.6697675381368,-18.9915963549784,-24.6681803104962,50
"106",-13.2457645728004,-19.153576966768,-26.1914334521136,50
"107",-14.2001955887225,-18.7349730365975,-26.5894856694567,50
"108",-13.5056496480352,-17.509561341457,-26.385120574192,50
"109",-12.2422914039075,-18.0477345450815,-27.7623024522684,50
